Mag Ratio,Canvas Size,Contrast Threshold,Adjust Contrast,Home Detections,Home Confidence,Away Detections,Away Confidence
4,1024,0.2,0.7,0,0.859955039640287,0,0.8622924934586731
4,1024,0.2,0.9,0,0.8574975234647978,0,0.8543811128401252
4,1024,0.3,0.5,0,0.866674900535384,0,0.8439081497369557
4,1024,0.3,0.7,0,0.860574668039588,0,0.860308384302716
4,1024,0.3,0.9,0,0.8572726722685236,0,0.8484369252720618
4,2048,0.1,0.5,0,0.866674900535384,0,0.8439081497369557
4,2048,0.1,0.7,0,0.8598097561347341,0,0.8592837005085123
4,2048,0.1,0.9,0,0.8589582089081472,0,0.8524494706684733
4,2048,0.2,0.5,0,0.866674900535384,0,0.8439081497369557
4,2048,0.2,0.7,0,0.859955039640287,0,0.8622924934586731
4,2048,0.2,0.9,0,0.8574975234647978,0,0.8543811128401252
4,2048,0.3,0.5,0,0.866674900535384,0,0.8439081497369557
4,2048,0.3,0.7,0,0.860574668039588,0,0.860308384302716
4,2048,0.3,0.9,0,0.8572726722685236,0,0.8484369252720618
4,4096,0.1,0.5,0,0.866674900535384,0,0.8439081497369557
4,4096,0.1,0.7,0,0.8598097561347341,0,0.8592837005085123
4,4096,0.1,0.9,0,0.8589582089081472,0,0.8524494706684733
4,4096,0.2,0.5,0,0.866674900535384,0,0.8439081497369557
4,4096,0.2,0.7,0,0.859955039640287,0,0.8622924934586731
4,4096,0.2,0.9,0,0.8574975234647978,0,0.8543811128401252
4,4096,0.3,0.5,0,0.866674900535384,0,0.8439081497369557
4,4096,0.3,0.7,0,0.860574668039588,0,0.860308384302716
4,4096,0.3,0.9,0,0.8572726722685236,0,0.8484369252720618
